"id","state","name"
"CA006026852","Minnesota","ON RAINY RIVER"
"CA006026853","Minnesota","ON RAINY RIVER"
"CA006027825","Minnesota","ON SLEEMAN"
"CA006028125","Minnesota","ON STRATTON"
"CA006028127","Minnesota","ON STRATTON ROEN"
"CA006028128","Minnesota","ON STRATTON ROMYN"
"CA00602B300","Minnesota","ON EMO HOSKINS"
"CA00602FQ5L","Minnesota","ON RAINY RIVER-COOPER"
"CA00602K300","Minnesota","ON EMO RADBOURNE"
"CA006033785","Minnesota","ON INGOLF"
"CA006034070","Minnesota","ON KENORA"
"CA006034073","Minnesota","ON KENORA RCS"
"CA006034075","Minnesota","ON KENORA A"
"CA006034076","Minnesota","ON KENORA A"
"CA006034077","Minnesota","ON KENORA TCPL"
"CA006035190","Minnesota","ON MINAKI"
"CA006037803","Minnesota","ON SIOUX NARROWS"
"CA006039465","Minnesota","ON WHITEFISH BAY"
"CA006041036","Minnesota","ON BURCHELL LAKE"
"CA006041221","Michigan","ON CARIBOU ISLAND"
"CA006041222","Michigan","ON CARIBOU ISLAND (AUT)"
"CA006044000","Minnesota","ON KASHABOWIE"
"CA006045541","Minnesota","ON MYRT LAKE"
"CA006045711","Minnesota","ON NORTH LAKE"
"CA006057589","Michigan","ON SAULT STE MARIE"
"CA006057591","Michigan","ON SAULT STE MARIE A"
"CA006057592","Michigan","ON SAULT STE MARIE A"
"CA006057595","Michigan","ON SAULT STE M FORESTRY"
"CA006057597","Michigan","ON SAULT STE M INSECTARY"
"CA006093004","Michigan","ON GREAT DUCK ISLAND"
"CA006093005","Michigan","ON GREAT DUCK ISLAND (AUT)"
"CA006101200","New York","ON CARDINAL"
"CA006101502","New York","ON CHESTERVILLE"
"CA006103024","New York","ON GRENADIER ISLAND"
"CA006104347","New York","ON LANSDOWNE"
"CA006104348","New York","ON LANSDOWNE"
"CA006104882","New York","ON MALLORYTOWN LANDING"
"CA006105460","New York","ON MORRISBURG"
"CA0061219J1","Michigan","ON COURTRIGHT"
"CA006127520","Michigan","ON SARNIA POLYSAR"
"CA006130681","Michigan","ON BELLE RIVER"
"CA006134610","Pennsylvania","ON LONG POINT"
"CA006134F10","Pennsylvania","ON LONG POINT (AUT)"
"CA006135642","New York","ON NIAGARA FALLS CHIPPAWA"
"CA006135FF4","New York","ON NIAGARA ON THE LAKE"
"CA006136335","Ohio","ON PELEE ISLAND"
